,titles,descriptions,score
20,Sen. Ted Cruz gives victory speech after defeating Beto O'Rourke,"Texas Republican Sen. Ted Cruz won a narrow victory against Democrat Beto O'Rourke Tuesday night. He addressed supporters after clinching the win, saying he represents ""every Texan."" Watch his remarks.",0.2521
21,"Cruz: Committee treated Ford with respect, but Democrats aren't respecting Kavanaugh","Sen. Ted Cruz, R-Texas, said Thursday's hearing into Christine Blasey Ford's allegation of sexual assault against Brett Kavanaugh needed to happen.

But Cruz said Democrats weren't extending the kind of respect they gave to Ford to Kavanaugh, too.

""We should look to the facts, not anonymous innuendo,"" Cruz added.




Find more from PBS NewsHour at https://www.pbs.org/newshour

Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Snapchat: @pbsnews

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",-0.008849999999999997
22,President Donald Trump Campaigns For Ted Cruz At Texas Rally | NBC News,"Watch live coverage of Trump campaigning for Ted Cruz at ‘Make America Great Again’ rally in Houston, TX.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

President Donald Trump Campaigns For Ted Cruz At Texas Rally | NBC News",0.461
23,"Ted Cruz on Beto O'Rourke voters: ""They'll crawl over broken glass to show up""","Ted Cruz thinks Beto O'Rourke's supporters have a powerful motivation for voting in the Texas Senate race: anger over President Trump. See 60 Minutes' full report here: https://cbsn.ws/2JGsdbE

Subscribe to the ""60 Minutes"" Channel HERE: http://bit.ly/1S7CLRu
Watch Full Episodes of ""60 Minutes"" HERE: http://cbsn.ws/1Qkjo1F
Get more ""60 Minutes"" from ""60 Minutes: Overtime"" HERE: http://cbsn.ws/1KG3sdr
Relive past episodies and interviews with ""60 Rewind"" HERE: http://cbsn.ws/1PlZiGI
Follow ""60 Minutes"" on Instagram HERE: http://bit.ly/23Xv8Ry
Like ""60 Minutes"" on Facebook HERE: http://on.fb.me/1Xb1Dao
Follow ""60 Minutes"" on Twitter HERE: http://bit.ly/1KxUsqX
Follow ""60 Minutes"" on Google+ HERE: http://bit.ly/1KxUvmG

Get unlimited ad-free viewing of the latest stories plus access to classic 60 Minutes archives, 60 Overtime, and exclusive extras. Subscribe to 60 Minutes All Access HERE: http://cbsn.ws/23XvRSS

Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7T

Get your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8

Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B

---
""60 Minutes,"" the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10. ""60 Minutes"" has won more Emmy Awards than any other primetime broadcast, including a special Lifetime Achievement Emmy. It has also won every major broadcast journalism award over its tenure, including 24 Peabody and 18 DuPont Columbia University awards for excellence in television broadcasting. Other distinguished awards won multiple times include the George Polk, RTNDA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb Awards for Distinguished Business and Financial Reporting. ""60 Minutes"" premiered on CBS Sept. 24, 1968. The correspondents and contributors of ""60 Minutes"" are Bill Whitaker, Steve Kroft, Scott Pelley, Lesley Stahl, Anderson Cooper, Sharyn Alfonsi, Jon Wertheim and Norah O'Donnell. ""60 Minutes"" airs Sundays at 7 p.m. ET/PT. Check your local listings.",0.2599
24,Ted Cruz confronts Trump supporters,Republican presidential candidate debates heckler in Indiana,0.125
25,Can Beto O’Rourke really beat Ted Cruz in Texas?,"Beto O’Rourke has the hype. But can he beat Ted Cruz in Texas? The odds are stacked against him. The Washington Post has followed the Senate race in Texas since April, visiting 20 cities and towns across the state. O’Rourke has represented El Paso in Congress since 2013. Cruz was elected to the Senate in the same election cycle. They are now facing off in one of the highest profile races of the 2018 midterm elections. Subscribe to The Washington Post on YouTube: http://bit.ly/2qiJ4dy

Follow us:
Twitter: https://twitter.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/",0.0
26,Sen. Cruz and Rep. O'Rourke spar in 2nd Texas Senate debate,"Texas Sen. Ted Cruz, R-Texas, and his Democratic opponent, Rep. Beto O'Rourke, D-El Paso, faced off in their second and final debate before the Nov. 6 election. See some of the highlights here.",0.0
27,"In New Ad, Ted Cruz Burned For His White Castle Love | Morning Joe | MSNBC","Another new ad, again directed by Richard Linklater, from a political action committee called Fire Ted Cruz hits the senator this time over his professed love of the White Castle hamburger chain rather than the beloved Texas chain Whataburger.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

In New Ad, Ted Cruz Burned For His White Castle Love | Morning Joe | MSNBC",0.76955
28,Trump campaigns for Ted Cruz in Houston,"President Trump holds a campaign rally in Houston. Subscribe to The Washington Post on YouTube: http://bit.ly/2qiJ4dy

Follow us:
Twitter: https://twitter.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/",0.0
29,Ted Cruz Highlights: Dr. Seuss's Green Eggs and Ham,"Sept. 25 (Bloomberg) -- Conservative Senator Ted Cruz, R-Texas invokes Dr. Seuss prose in a marathon speech to Congress in support of the House-passed bill that would avert a government shutdown and defund Obamacare.

-- Subscribe to Bloomberg on YouTube: http://www.youtube.com/Bloomberg

Bloomberg Television offers extensive coverage and analysis of international business news and stories of global importance. It is available in more than 310 million households worldwide and reaches the most affluent and influential viewers in terms of household income, asset value and education levels. With production hubs in London, New York and Hong Kong, the network provides 24-hour continuous coverage of the people, companies and ideas that move the markets.",0.4474
